Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Holstein Friesian Cross,3,25,12,11,1.42,15.39,3.52,8.55,30,36.62,6,57,75,2
Holstein Friesian Cross,6,32,12,10,0.02,17.56,3.46,8.53,29,39.44,3,71,69,2
Holstein Friesian Cross,7,39,6,11,1.51,18.61,3.39,8.42,31,42.45,5,32,68,1
Holstein Friesian Cross,6,27,14,11,1.03,17.08,3.45,8.46,38,44.51,3,54,70,3
Holstein Friesian Cross,2,37,12,12,0.36,17.68,3.37,8.58,28,44.08,4,37,53,2
Holstein Friesian Cross,8,37,6,11,1.34,19.52,3.34,8.36,29,41.82,5,26,58,0
Holstein Friesian Cross,4,34,12,14,1.47,18.12,3.43,8.47,36,42.5,6,52,75,1
Holstein Friesian Cross,1,32,6,5,0.83,13.15,3.2,8.51,29,39.3,5,55,63,1
Jersey cross,9,34,12,8,1.05,16.36,3.55,8.52,32,40.84,6,42,67,3
Holstein Friesian Cross,9,43,7,6,1.31,19.4,3.09,8.45,30,38.35,6,53,73,3
Holstein Friesian Cross,9,26,9,7,1.75,18.07,3.32,8.54,37,43.87,5,39,56,2
Holstein Friesian Cross,1,35,11,13,1.7,15.27,3.41,8.49,28,40.64,6,53,54,0
Jersey cross,4,27,7,8,0.37,14.39,3.75,8.57,38,42.97,3,67,70,1
Holstein Friesian Cross,9,42,7,4,1.27,18.01,3.21,8.44,34,40.38,5,40,71,2
Holstein Friesian Cross,3,31,7,5,0.14,15.12,3.24,8.62,33,41.59,3,62,57,0
Jersey cross,6,29,12,7,1.43,15.01,3.69,8.57,30,39.63,6,46,51,1
Jersey cross,3,26,6,13,0.54,14.51,3.81,8.51,29,43.76,5,47,55,3
Holstein Friesian Cross,9,36,6,8,1.55,19.77,3.33,8.5,29,41.19,6,27,70,2
Jersey cross,1,28,13,10,0.98,13.44,3.7,8.44,37,35.61,4,67,59,1
Holstein Friesian Cross,9,41,12,9,0.35,20.47,3.26,8.54,35,37.4,2,46,58,1
Jersey cross,7,31,9,12,0.49,16.24,3.78,8.4,36,39.07,3,57,70,0
Holstein Friesian Cross,2,35,13,5,0.12,14.21,3.23,8.65,28,37.54,3,46,56,2
Jersey cross,3,33,13,10,1.03,15.0,3.68,8.49,30,44.75,6,37,67,3
Holstein Friesian Cross,6,37,14,6,1.7,18.08,3.31,8.62,35,35.06,5,57,59,2
Holstein Friesian Cross,5,32,13,8,1.07,17.1,3.36,8.56,33,44.36,3,27,63,0
Jersey cross,4,32,13,12,1.51,15.68,3.82,8.49,38,41.29,3,42,70,0
Jersey cross,6,37,7,7,1.23,15.17,3.56,8.57,30,41.26,5,68,57,1
Jersey cross,4,34,8,5,0.72,13.27,3.57,8.48,29,35.34,5,40,50,0
Jersey cross,6,27,5,8,0.38,15.23,3.61,8.56,32,36.57,3,71,61,3
Jersey cross,3,28,8,9,1.47,14.15,3.64,8.47,29,37.94,6,32,70,2
Holstein Friesian Cross,8,37,7,11,0.54,19.4,3.29,8.44,37,43.5,3,50,61,2
Holstein Friesian Cross,9,44,5,13,1.65,20.73,3.26,8.52,36,44.61,5,62,50,3
Jersey cross,6,42,8,12,0.55,16.23,3.7,8.54,31,35.23,5,25,53,3
Jersey cross,4,34,10,10,1.19,14.8,3.74,8.42,35,36.25,2,25,64,3
Jersey cross,6,37,5,11,1.08,16.33,3.71,8.49,32,39.16,5,31,55,1
Holstein Friesian Cross,1,26,7,6,0.57,12.74,3.31,8.45,29,35.25,3,72,72,2
Jersey cross,9,29,12,9,1.84,16.35,3.69,8.54,36,39.71,2,74,71,0
Jersey cross,9,40,8,11,0.83,18.13,3.66,8.5,32,36.66,6,67,69,3
Holstein Friesian Cross,9,27,13,14,1.1,20.62,3.46,8.49,28,44.92,6,63,70,0
Jersey cross,1,31,9,6,0.44,11.87,3.71,8.56,29,44.64,4,42,66,0
Holstein Friesian Cross,3,28,9,13,0.93,15.45,3.47,8.51,29,42.15,2,68,50,3
Jersey cross,9,25,5,8,1.12,14.88,3.73,8.47,38,37.76,5,35,60,0
Holstein Friesian Cross,6,39,7,5,1.35,17.48,3.19,8.52,37,40.5,5,45,74,2
Jersey cross,2,28,5,6,1.17,11.64,3.6,8.42,34,42.92,6,69,59,1
Jersey cross,7,36,9,4,1.72,14.82,3.51,8.64,31,44.69,4,25,63,0
Jersey cross,6,25,7,13,2.0,16.01,3.84,8.5,31,38.49,6,27,55,3
Jersey cross,2,27,7,14,0.28,13.58,3.89,8.42,28,38.61,2,67,58,3
Jersey cross,8,37,11,11,1.91,17.17,3.71,8.55,29,41.84,5,66,72,3
Jersey cross,9,32,13,5,0.99,16.72,3.59,8.51,36,36.46,6,31,68,2
Jersey cross,6,32,10,8,1.23,15.28,3.68,8.43,38,36.42,6,68,61,3
Holstein Friesian Cross,6,29,12,11,1.5,17.77,3.41,8.44,37,37.62,3,39,70,0
Jersey cross,8,34,5,5,1.18,15.37,3.65,8.58,34,43.98,3,64,61,3
Holstein Friesian Cross,9,44,9,10,0.42,19.62,3.35,8.46,30,35.26,3,34,63,0
Holstein Friesian Cross,8,40,10,14,1.55,21.24,3.4,8.4,32,42.3,4,32,66,1
Holstein Friesian Cross,1,35,14,8,0.45,14.33,3.35,8.56,30,37.34,3,29,60,2
Holstein Friesian Cross,9,37,6,8,0.85,19.99,3.28,8.43,37,41.74,3,42,58,0
Jersey cross,8,38,7,7,0.74,16.64,3.57,8.47,35,43.75,3,58,51,0
Jersey cross,4,41,8,6,0.22,15.17,3.58,8.62,36,36.2,5,55,50,1
Holstein Friesian Cross,5,32,12,14,1.46,18.1,3.38,8.55,28,41.53,6,54,52,1
Jersey cross,6,29,13,10,0.79,15.85,3.81,8.55,35,39.21,2,27,66,0
Holstein Friesian Cross,5,31,8,11,0.44,16.76,3.47,8.42,33,40.5,4,73,52,1
Holstein Friesian Cross,8,42,13,5,1.04,19.7,3.2,8.58,36,36.16,3,33,53,3
Holstein Friesian Cross,9,29,9,8,0.26,17.71,3.31,8.47,32,42.03,5,33,50,0
Jersey cross,7,40,7,9,1.52,16.3,3.5,8.55,38,37.06,6,69,53,1
Holstein Friesian Cross,4,35,8,12,0.52,17.39,3.46,8.44,32,40.98,3,39,75,3
Jersey cross,2,43,5,8,1.99,15.03,3.47,8.56,32,38.66,4,43,65,1
Jersey cross,1,25,5,10,1.02,11.78,3.72,8.35,37,43.98,5,63,75,2
Holstein Friesian Cross,6,40,8,14,1.39,19.38,3.4,8.47,34,40.14,6,68,56,1
Jersey cross,5,40,10,7,1.16,14.47,3.6,8.6,37,44.75,2,44,56,1
Holstein Friesian Cross,9,35,10,9,0.22,19.68,3.4,8.59,33,41.69,6,63,55,0
Jersey cross,4,42,10,8,0.65,14.66,3.61,8.47,34,39.38,4,75,56,0
Jersey cross,7,45,11,8,0.23,17.65,3.52,8.53,32,40.77,3,48,74,3
Holstein Friesian Cross,2,30,11,5,1.1,15.25,3.26,8.57,28,40.32,2,56,62,2
Holstein Friesian Cross,1,32,6,8,0.89,14.17,3.4,8.52,38,38.85,4,68,72,0
Holstein Friesian Cross,1,33,6,7,0.3,15.08,3.39,8.49,35,43.81,4,73,54,0
Jersey cross,6,42,7,6,0.77,15.45,3.49,8.57,36,36.98,5,35,65,2
Jersey cross,9,40,9,5,0.69,16.54,3.51,8.48,35,41.77,6,25,67,3
Holstein Friesian Cross,5,40,7,8,0.39,17.82,3.28,8.5,38,41.07,5,35,70,1
Holstein Friesian Cross,7,40,13,5,1.71,17.78,3.22,8.59,31,41.87,6,40,59,0
Holstein Friesian Cross,8,32,7,4,1.51,17.37,3.26,8.58,36,35.05,3,38,62,1
Holstein Friesian Cross,7,27,10,7,0.65,16.3,3.4,8.61,34,43.32,4,71,66,2
Holstein Friesian Cross,3,45,13,10,1.4,18.27,3.21,8.46,30,38.24,5,59,61,0
Holstein Friesian Cross,1,28,14,11,1.01,15.08,3.36,8.5,30,42.26,6,74,71,0
Holstein Friesian Cross,6,27,7,10,0.6,17.06,3.46,8.5,35,36.9,5,37,62,3
Holstein Friesian Cross,5,43,12,9,1.64,18.39,3.21,8.58,34,40.49,2,63,61,2
Holstein Friesian Cross,8,27,6,5,0.54,16.36,3.35,8.58,33,39.16,6,51,52,0
Jersey cross,3,43,9,14,1.3,16.57,3.55,8.38,32,36.43,2,62,64,2
Jersey cross,2,40,5,5,1.53,13.59,3.45,8.55,29,35.61,4,42,68,0
Jersey cross,7,37,5,8,1.17,15.61,3.57,8.54,33,42.94,3,50,65,1
Holstein Friesian Cross,1,27,8,7,1.35,13.81,3.42,8.5,32,40.97,3,56,66,2
Jersey cross,3,45,6,11,1.65,14.96,3.51,8.51,31,40.69,2,67,66,2
Holstein Friesian Cross,9,29,13,14,0.96,20.7,3.47,8.54,37,44.36,4,40,73,1
Holstein Friesian Cross,4,31,13,6,1.81,16.71,3.25,8.49,35,39.82,6,26,52,2
Holstein Friesian Cross,5,42,12,4,0.75,16.95,3.22,8.67,34,39.93,5,75,57,0
Holstein Friesian Cross,1,44,13,5,1.76,15.84,3.23,8.67,35,37.12,5,72,55,3
Holstein Friesian Cross,9,30,14,4,0.56,17.09,3.32,8.55,32,40.96,5,32,65,2
Holstein Friesian Cross,3,45,6,9,0.3,17.02,3.14,8.51,30,42.83,2,26,67,3
Jersey cross,3,45,6,14,0.59,16.54,3.57,8.45,31,44.38,6,26,59,1
Jersey cross,4,43,9,6,1.77,15.37,3.58,8.59,35,42.29,6,62,65,2
Holstein Friesian Cross,5,34,14,11,0.97,17.8,3.46,8.58,29,39.47,5,64,56,1
Jersey cross,5,42,7,10,0.28,16.58,3.6,8.38,31,35.09,5,26,61,2
Jersey cross,1,27,8,7,1.16,11.02,3.57,8.54,36,39.41,2,39,73,1
Holstein Friesian Cross,8,37,8,12,0.63,19.66,3.45,8.46,29,39.47,6,29,60,2
Holstein Friesian Cross,4,37,12,11,1.79,17.36,3.4,8.53,35,39.45,3,39,73,0
Jersey cross,9,45,13,12,1.8,19.42,3.61,8.54,28,39.9,5,73,66,1
Jersey cross,1,31,12,11,1.01,13.92,3.73,8.43,34,37.28,4,73,67,2
Holstein Friesian Cross,1,28,12,12,0.72,14.79,3.54,8.6,37,42.34,6,55,54,0
Holstein Friesian Cross,8,29,12,5,0.58,18.33,3.41,8.59,31,43.45,6,37,68,2
Jersey cross,4,37,13,7,1.71,14.76,3.59,8.53,34,40.87,6,32,74,0
Holstein Friesian Cross,2,34,14,8,0.89,15.74,3.35,8.6,28,40.99,3,52,68,0
Jersey cross,9,37,5,12,1.85,17.43,3.75,8.4,28,43.16,6,50,65,1
Holstein Friesian Cross,3,37,12,4,0.03,16.14,3.21,8.65,30,44.38,6,35,59,0
Holstein Friesian Cross,7,42,6,7,1.51,19.12,3.3,8.46,32,35.87,4,55,55,1
Holstein Friesian Cross,2,38,10,4,0.55,15.89,3.15,8.5,29,42.03,4,72,57,2
Jersey cross,6,43,9,9,0.95,16.1,3.6,8.56,37,37.23,6,49,55,3
Holstein Friesian Cross,5,31,10,13,0.6,17.31,3.44,8.53,29,41.9,3,57,64,0
Jersey cross,5,26,13,7,1.44,14.58,3.74,8.59,35,43.04,3,51,59,2
Holstein Friesian Cross,9,33,9,14,0.47,20.46,3.49,8.5,37,36.43,2,51,57,2
Jersey cross,6,40,6,10,1.92,15.55,3.68,8.39,33,42.57,6,26,65,2
Holstein Friesian Cross,6,41,14,9,1.9,17.69,3.29,8.48,32,41.67,2,68,65,1
Holstein Friesian Cross,7,42,7,9,1.12,19.14,3.26,8.48,38,37.64,5,60,55,3
Holstein Friesian Cross,5,34,13,5,0.19,15.71,3.34,8.61,31,39.87,3,56,50,3
Holstein Friesian Cross,5,44,14,5,1.94,18.5,3.2,8.67,33,39.07,3,51,51,3
Jersey cross,9,38,9,9,0.24,18.35,3.68,8.4,28,43.63,2,32,68,0
Jersey cross,4,41,14,4,1.41,15.25,3.47,8.66,34,36.01,2,45,70,0
Jersey cross,6,44,10,14,0.36,18.56,3.65,8.55,33,35.64,3,50,56,0
Holstein Friesian Cross,2,40,12,10,1.1,16.43,3.32,8.6,31,37.65,5,29,57,3
Jersey cross,3,28,11,8,0.32,13.59,3.73,8.6,30,36.71,5,30,58,0
Holstein Friesian Cross,8,45,14,4,1.89,19.46,3.23,8.59,37,41.52,2,64,65,0
Jersey cross,8,41,6,13,1.23,18.34,3.6,8.4,38,39.36,3,55,50,0
Holstein Friesian Cross,8,36,5,6,1.84,18.42,3.3,8.56,36,42.13,5,68,70,3
Holstein Friesian Cross,3,38,5,14,0.31,17.87,3.31,8.51,38,43.35,2,31,70,3
Jersey cross,9,45,13,14,0.37,18.78,3.55,8.49,37,40.61,2,32,55,3
Jersey cross,8,26,9,12,1.17,16.65,3.78,8.39,31,42.43,5,69,64,1
Jersey cross,7,45,8,14,1.31,18.22,3.56,8.43,31,43.53,6,74,56,0
Jersey cross,3,25,9,11,0.78,13.73,3.86,8.55,37,35.08,2,63,62,1
Holstein Friesian Cross,7,39,12,14,1.28,19.71,3.32,8.47,29,35.49,4,65,59,1
Holstein Friesian Cross,6,31,6,12,0.25,17.18,3.48,8.54,32,42.31,6,35,52,1
Jersey cross,3,32,5,12,0.34,13.9,3.75,8.34,34,39.8,2,62,51,3
Jersey cross,6,26,11,13,0.76,15.08,3.83,8.45,33,40.1,6,74,63,3
Holstein Friesian Cross,5,44,13,9,0.81,17.61,3.28,8.5,32,41.62,4,64,71,3
Holstein Friesian Cross,2,35,11,5,0.68,15.48,3.21,8.56,30,39.87,2,36,75,0
Jersey cross,7,31,7,10,0.06,15.55,3.59,8.42,32,43.46,5,29,53,3
Holstein Friesian Cross,7,37,10,13,0.47,19.33,3.48,8.47,38,40.93,4,31,74,2
Holstein Friesian Cross,9,26,6,9,1.87,17.8,3.38,8.52,28,38.37,4,60,59,0
Jersey cross,2,41,10,10,0.67,14.32,3.58,8.52,33,37.5,4,35,63,2
Jersey cross,9,32,10,11,1.98,17.64,3.64,8.58,38,41.78,3,49,75,2
Holstein Friesian Cross,1,31,11,6,0.88,14.5,3.34,8.58,37,41.59,6,28,72,1
Holstein Friesian Cross,5,38,6,8,1.49,16.44,3.22,8.4,34,38.08,3,28,58,1
Holstein Friesian Cross,4,30,8,9,0.1,16.26,3.32,8.51,34,35.78,5,75,66,0
Jersey cross,6,28,5,13,1.33,15.41,3.68,8.45,30,44.54,2,72,56,0
Jersey cross,4,38,13,7,1.88,14.5,3.5,8.61,37,35.63,4,60,62,1
Jersey cross,8,37,12,10,0.08,17.08,3.71,8.57,34,39.82,3,50,63,0
Jersey cross,5,30,9,13,0.63,15.81,3.79,8.44,28,36.9,4,54,57,3
Jersey cross,5,43,8,9,0.7,15.01,3.5,8.53,33,44.31,6,74,71,3
Holstein Friesian Cross,2,30,6,7,1.15,14.38,3.25,8.42,29,35.17,6,49,71,2
Jersey cross,6,28,12,8,0.29,14.43,3.7,8.54,28,40.27,4,51,69,0
Jersey cross,5,25,9,11,1.77,15.46,3.75,8.41,30,43.46,3,44,59,3
Holstein Friesian Cross,5,29,11,7,0.85,16.54,3.33,8.46,34,37.72,5,74,52,0
Holstein Friesian Cross,6,44,13,4,0.9,17.4,3.06,8.68,30,42.68,6,49,59,2
Holstein Friesian Cross,5,37,10,9,0.39,18.19,3.24,8.61,30,39.47,3,37,63,1
Jersey cross,2,37,6,8,1.67,13.44,3.59,8.4,31,39.48,3,59,63,0
Jersey cross,9,26,13,14,0.8,16.7,3.75,8.4,28,41.22,5,42,56,1
Holstein Friesian Cross,1,26,13,13,0.45,16.24,3.58,8.44,38,38.32,6,56,75,2
Jersey cross,3,25,8,4,1.59,11.51,3.6,8.45,33,39.37,6,64,68,0
Holstein Friesian Cross,8,26,10,6,0.19,17.34,3.37,8.5,35,35.08,2,28,72,1
Holstein Friesian Cross,8,29,7,13,1.76,18.47,3.43,8.38,32,43.42,3,71,61,1
Holstein Friesian Cross,3,32,8,7,0.79,14.63,3.25,8.5,36,44.81,4,52,68,1
Holstein Friesian Cross,9,40,11,10,0.07,20.09,3.3,8.44,35,44.92,6,55,54,3
Holstein Friesian Cross,8,32,8,4,0.06,17.21,3.36,8.56,36,41.14,4,47,53,1
Holstein Friesian Cross,8,41,7,10,1.62,19.0,3.2,8.55,37,36.65,3,27,73,2
Jersey cross,7,28,6,5,1.45,13.75,3.69,8.5,38,43.62,3,47,66,3
Holstein Friesian Cross,9,25,10,8,1.41,18.29,3.48,8.57,37,40.5,4,48,62,1
Jersey cross,6,42,14,6,1.44,16.07,3.49,8.55,29,38.09,2,45,68,3
Holstein Friesian Cross,8,40,11,7,1.49,18.35,3.34,8.46,30,36.44,4,47,72,0
Holstein Friesian Cross,5,38,7,12,0.75,18.85,3.35,8.46,31,41.57,5,33,56,2
Holstein Friesian Cross,2,30,14,8,1.45,14.56,3.42,8.5,32,40.61,4,69,73,1
Jersey cross,3,35,9,4,0.84,12.84,3.47,8.51,30,38.8,5,45,75,2
Holstein Friesian Cross,6,32,6,10,1.8,18.37,3.36,8.51,29,40.41,6,70,74,0
Jersey cross,1,36,6,14,0.17,14.31,3.68,8.44,34,43.77,6,70,73,1
Jersey cross,4,26,10,4,0.11,12.77,3.72,8.61,30,40.42,3,29,69,2
Holstein Friesian Cross,4,29,7,11,0.55,16.01,3.4,8.41,28,41.27,6,29,52,1
Holstein Friesian Cross,9,29,11,6,0.6,18.71,3.32,8.46,33,37.45,6,33,69,3
Holstein Friesian Cross,7,41,11,11,0.49,19.28,3.39,8.55,38,39.15,4,28,71,2
Jersey cross,9,39,14,4,0.49,16.92,3.41,8.62,32,35.59,6,61,58,0
Holstein Friesian Cross,1,38,5,4,1.06,13.63,3.22,8.43,34,35.6,5,65,51,1
Holstein Friesian Cross,9,43,8,9,1.56,20.02,3.33,8.52,36,38.4,2,37,55,1
Jersey cross,7,37,14,13,1.14,17.83,3.61,8.58,35,43.6,3,30,74,0
Jersey cross,6,35,9,9,0.88,16.29,3.57,8.42,35,36.47,4,64,52,2
Holstein Friesian Cross,2,39,5,10,1.38,15.27,3.27,8.51,31,39.21,6,28,72,1
Jersey cross,7,41,5,7,1.54,16.3,3.58,8.57,34,35.59,3,33,55,3
Jersey cross,6,36,7,4,1.74,13.99,3.5,8.5,29,38.27,3,53,56,2
Holstein Friesian Cross,5,42,5,5,0.05,17.51,3.17,8.44,33,42.19,5,66,61,3
Holstein Friesian Cross,4,42,12,4,0.37,15.89,3.13,8.49,36,37.84,2,56,70,2
Holstein Friesian Cross,1,40,7,4,0.97,13.79,3.17,8.44,31,42.64,6,29,65,3
Jersey cross,6,45,8,12,0.36,17.4,3.66,8.37,38,37.7,6,39,50,2
Jersey cross,7,44,14,10,0.75,17.31,3.6,8.53,30,40.36,5,58,55,2
Jersey cross,6,39,8,5,1.5,15.63,3.54,8.5,36,40.11,2,69,57,3
Holstein Friesian Cross,8,29,5,5,1.25,17.49,3.31,8.5,31,43.73,5,46,55,0
Jersey cross,6,34,8,14,0.59,15.71,3.67,8.36,32,37.39,5,38,67,1
Holstein Friesian Cross,7,44,9,6,0.62,19.41,3.1,8.59,37,43.7,2,66,56,2
Jersey cross,2,41,10,9,1.25,13.68,3.65,8.41,37,38.8,2,69,51,0
Holstein Friesian Cross,6,29,6,10,0.58,17.74,3.35,8.5,36,36.35,6,43,54,3
Holstein Friesian Cross,1,37,12,8,0.23,15.41,3.3,8.45,35,39.42,5,43,56,2
Holstein Friesian Cross,2,27,8,14,1.49,16.27,3.53,8.37,29,42.41,4,49,55,3
Jersey cross,9,39,7,6,1.4,17.27,3.55,8.57,38,35.3,2,57,61,2
Holstein Friesian Cross,7,37,7,10,1.99,17.68,3.38,8.51,30,41.45,2,42,70,2
Holstein Friesian Cross,1,36,5,9,0.48,15.21,3.37,8.52,31,36.23,5,59,55,3
Holstein Friesian Cross,5,35,14,6,0.84,16.52,3.27,8.63,31,35.32,5,61,54,1
Holstein Friesian Cross,3,27,11,11,1.67,15.04,3.49,8.54,34,43.49,4,63,73,3
Holstein Friesian Cross,3,29,13,9,0.32,15.35,3.37,8.64,37,40.29,6,47,71,1
Holstein Friesian Cross,8,34,7,8,1.38,17.58,3.37,8.58,37,40.18,5,66,64,3
Jersey cross,2,34,9,8,1.39,13.02,3.63,8.43,33,40.46,2,38,59,2
Jersey cross,1,25,13,7,1.74,11.48,3.79,8.47,30,36.55,6,40,54,1
Holstein Friesian Cross,5,32,11,11,1.35,18.23,3.32,8.55,37,42.35,2,37,51,1
Jersey cross,3,25,13,10,1.14,14.15,3.66,8.46,35,41.57,4,36,71,0
Holstein Friesian Cross,3,28,12,10,0.16,16.5,3.34,8.56,37,40.05,4,75,61,1
Jersey cross,4,26,5,6,1.5,13.32,3.58,8.53,37,35.11,5,60,72,3
Holstein Friesian Cross,5,35,12,10,0.01,17.0,3.37,8.61,33,39.73,2,35,67,0
Jersey cross,1,28,14,12,1.18,14.18,3.69,8.45,32,35.84,4,39,67,1
Jersey cross,1,31,13,8,1.28,13.35,3.59,8.45,36,41.06,2,54,54,2
Jersey cross,7,32,6,12,1.83,16.48,3.65,8.47,38,35.03,6,56,61,3
Jersey cross,4,26,14,8,1.02,14.01,3.7,8.57,30,44.59,2,55,51,3
Jersey cross,7,26,14,7,0.65,14.87,3.59,8.62,28,39.19,5,32,69,1
Jersey cross,1,28,13,6,0.58,12.73,3.58,8.51,34,37.2,5,68,65,0
Holstein Friesian Cross,2,36,5,6,1.98,14.99,3.21,8.46,38,35.58,3,37,53,0
Holstein Friesian Cross,6,39,11,5,1.37,16.78,3.29,8.62,33,43.75,3,73,60,0
Jersey cross,8,37,12,13,1.01,18.65,3.78,8.55,37,40.76,6,65,64,2
Holstein Friesian Cross,9,39,7,5,1.91,18.27,3.13,8.54,34,42.7,2,64,73,3
Holstein Friesian Cross,6,34,8,14,1.52,18.65,3.36,8.39,35,43.07,4,47,60,2
Holstein Friesian Cross,4,36,8,14,0.88,17.51,3.41,8.53,31,43.9,3,60,74,1
Jersey cross,3,45,10,13,0.92,16.27,3.68,8.52,38,42.44,2,52,60,1
Jersey cross,3,25,10,4,0.08,12.09,3.73,8.56,31,42.38,3,55,52,1
Jersey cross,4,25,9,12,1.1,13.75,3.83,8.45,36,38.02,4,74,75,0
